feature,bin,n,hit_rate,mean_long_only_return,mean_target,mean_prediction,mae,artifact_id,artifact_name,workflow_run_id,created_at,updated_at,expires_at,artifact_size_bytes
origin_vix_market,"(13.469000000000001, 15.86]",6085,0.5378800328677075,0.0030438552076543,0.0022224737775816,0.0048441643094135,0.0186752962079869,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
origin_vix_market,"(15.86, 17.16]",6059,0.5005776530780657,0.0004238702270302,0.0007027976016561,0.0042913642116425,0.0215736119908695,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
origin_vix_market,"(17.16, 19.09]",5975,0.5215062761506276,0.0034805879437333,0.0027694858495718,0.0051958608899263,0.021471913369713,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
origin_vix_market,"(19.09, 31.05]",6006,0.6605061605061605,0.0065276372048368,0.0053440541279519,0.004220136275156,0.0201066019555166,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
origin_vix_change_1d,"(-5.361000000000001, -0.7]",6190,0.5468497576736672,0.0018096206881697,0.0014582008210638,0.0053212889719241,0.0204959585029251,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
origin_vix_change_1d,"(-0.7, -0.12]",5996,0.5453635757171448,0.0041960031544807,0.0036266819505865,0.0036711193001783,0.0199323988313842,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
origin_vix_change_1d,"(-0.12, 0.7]",5959,0.5541198187615372,0.0033038781170423,0.0027696235493488,0.0058219181425031,0.021493305270019,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
origin_vix_change_1d,"(0.7, 6.11]",5980,0.5739130434782609,0.0041877916365749,0.0032023471337822,0.003716706119693,0.0198905306984979,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
origin_vix_change_5d,"(-10.071, -1.42]",6043,0.5409564785702465,0.0031303291521895,0.0018610074652179,0.0075995877558413,0.0213714573270943,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
origin_vix_change_5d,"(-1.42, 0.07]",6043,0.5138176402449115,0.0012074757287862,0.0016718712131183,0.0032556063173133,0.020950672851043,10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2026-09-23T01:41:48Z,2026-10-23T01:41:46Z,2191703
