artifact_id,artifact_name,workflow_run_id,created_at,fold,N,mae,rmse,r2,hit_rate,sharpe_long_only,sharpe_long_short,positive_signal_precision,positive_signal_coverage,mean_actual_return,validation_start,validation_end,hit_rate_vix_gt_20,n_vix_gt_20
10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,1,4830,0.019533606231336223,0.030672223277070917,-0.10024770595038168,0.46356107660455487,0.26200701173907376,-0.2858702069590962,0.5196652719665272,0.7422360248447205,0.0028694997633527466,2025-09-15,2025-11-21,0.6238095238095238,840
10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,2,4830,0.02012596422173427,0.03972441300740188,-0.005999882047363236,0.6405797101449275,1.5052876385406062,1.5625888893897082,0.6412705464238116,0.9320910973084886,0.0075979903909342405,2025-11-24,2026-02-05,0.7210884353741497,147
10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,3,4830,0.020595747995460604,0.033807614105626715,0.041691574690111644,0.6625258799171843,1.1411887110977128,1.4602774253045057,0.6341013824884792,0.6739130434782609,0.002637866097636931,2026-02-06,2026-04-20,0.7232142857142857,3360
10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,4,4830,0.02344623643402351,0.03708249400274385,-0.016132115984868634,0.5227743271221532,0.5765378737014067,0.8688038652012391,0.5216925549009106,0.7730848861283643,0.0005380848822515376,2026-04-21,2026-07-01,0.7619047619047619,210
10728172564,regime-analysis-124,35799984314,2026-09-23T01:41:48Z,5,4805,0.018549451846911133,0.029585763133265996,-0.03464857044043934,0.4851196670135276,0.14208398895967544,0.21881685660196135,0.44221105527638194,0.6626430801248699,0.00010993755892252626,2026-07-02,2026-09-11,0.7047619047619048,105
10673194012,regime-analysis-123,35672584394,2026-09-22T02:07:56Z,1,4830,0.019149079665670435,0.030546018403701976,-0.10849111013585122,0.38053830227743274,-0.5209456067341112,-1.296038766743275,0.43487957181088316,0.46418219461697724,0.0025736985208583978,2025-09-12,2025-11-20,0.39591836734693875,735
10673194012,regime-analysis-123,35672584394,2026-09-22T02:07:56Z,2,4830,0.019700418402167418,0.03898262113269896,0.037311551734152903,0.6128364389233955,1.3617863776818555,1.3218171969950852,0.6186295503211992,0.9668737060041408,0.007595330140336127,2025-11-21,2026-02-04,0.7083333333333334,168
10673194012,regime-analysis-123,35672584394,2026-09-22T02:07:56Z,3,4830,0.02070725014950848,0.033461044116064174,0.05847056690726382,0.5639751552795031,0.8515053844463993,1.0456084774851555,0.5571542765787371,0.7770186335403727,0.0026847766546414568,2026-02-05,2026-04-17,0.5868086364980775,3381
10673194012,regime-analysis-123,35672584394,2026-09-22T02:07:56Z,4,4830,0.023702149124268185,0.03827467248702309,-0.08627494767604671,0.4668737060041408,-0.2643669406315421,-0.5228980801775476,0.4821643286573146,0.5165631469979296,0.0005874078646127784,2026-04-20,2026-06-30,0.38095238095238093,210
10673194012,regime-analysis-123,35672584394,2026-09-22T02:07:56Z,5,4805,0.019192790735219487,0.03083188748442633,-0.12875606504634396,0.45806451612903226,-0.35399638778792414,-0.5769056379475559,0.4055087987758225,0.5440166493236213,0.00010378750495523178,2026-07-01,2026-09-10,0.8095238095238095,105
10574254602,regime-analysis-122,35407345736,2026-09-19T01:21:51Z,1,4830,0.019369000120893848,0.030750988375918144,-0.12341742183057591,0.3681159420289855,-0.7506840134917651,-1.4693954636897464,0.4017045454545455,0.36438923395445133,0.0025736985208583978,2025-09-12,2025-11-20,0.34285714285714286,735
10574254602,regime-analysis-122,35407345736,2026-09-19T01:21:51Z,2,4830,0.020274524271931178,0.03989766113760689,-0.008413291373332132,0.6004140786749482,1.1864534151286528,0.8118035218997737,0.6360816748513828,0.8010351966873706,0.007595330140336127,2025-11-21,2026-02-04,0.7083333333333334,168
10574254602,regime-analysis-122,35407345736,2026-09-19T01:21:51Z,3,4830,0.022117956281154465,0.035638682360365104,-0.06806627388395747,0.5178053830227743,0.5752060173592817,0.48948087063041223,0.5238660650676799,0.8718426501035197,0.0026847766546414568,2026-02-05,2026-04-17,0.5235137533274179,3381
10574254602,regime-analysis-122,35407345736,2026-09-19T01:21:51Z,4,4830,0.023747197710656726,0.03828058612083966,-0.08661064374369687,0.4832298136645963,0.18668293013749038,0.219502530415166,0.49833555259653795,0.6219461697722567,0.0005874078646127784,2026-04-20,2026-06-30,0.5333333333333333,210
10574254602,regime-analysis-122,35407345736,2026-09-19T01:21:51Z,5,4805,0.018552533170183697,0.02972983566233087,-0.04950591146889738,0.508012486992716,-0.07661186744703359,-0.11596149019267811,0.41025641025641024,0.2921956295525494,0.00010378750495523178,2026-07-01,2026-09-10,0.7047619047619048,105
10526733832,regime-analysis-121,35288873707,2026-09-18T00:55:28Z,1,4830,0.018367109392651192,0.029405406804919116,-0.030866198299492442,0.420703933747412,-0.0007934481083737459,-0.584818518633365,0.46900638103919784,0.45424430641821945,0.0023818473808318386,2025-09-11,2025-11-19,0.3932411674347158,651
10526733832,regime-analysis-121,35288873707,2026-09-18T00:55:28Z,2,4830,0.01986801569917408,0.03958575334599427,0.016058079830778782,0.6151138716356108,1.3759889264765057,1.3801529185552612,0.6171392027286293,0.9712215320910973,0.007708662022185855,2025-11-20,2026-02-03,0.6796536796536796,231
10526733832,regime-analysis-121,35288873707,2026-09-18T00:55:28Z,3,4830,0.019565510100933256,0.0308449021254764,0.19493632131258243,0.7244306418219462,1.883485187289967,2.663540462041039,0.7007203667321545,0.6322981366459627,0.002720503775902818,2026-02-04,2026-04-16,0.8045267489711934,3402
10526733832,regime-analysis-121,35288873707,2026-09-18T00:55:28Z,4,4830,0.024107478530256007,0.03905491359371604,-0.13428036224758344,0.5250517598343686,0.23503419534322575,0.278414871078091,0.5300808141275067,0.6917184265010352,0.0006291904728230883,2026-04-17,2026-06-29,0.7619047619047619,210
10526733832,regime-analysis-121,35288873707,2026-09-18T00:55:28Z,5,4805,0.019516900941828463,0.030220016043283386,-0.09415701558240785,0.43329864724245576,-0.016601868539601532,-0.11197988779114151,0.4293122886133033,0.922996878251821,0.00033350113413646614,2026-06-30,2026-09-09,0.6190476190476191,105
10477550263,regime-analysis-120,35165084206,2026-09-17T01:48:37Z,1,4830,0.018507786503486227,0.029909930810350302,-0.05732291380922727,0.4451345755693582,0.03246258621591995,-0.5985132591972337,0.49735099337748345,0.31262939958592134,0.002645329781569942,2025-09-09,2025-11-17,0.4230769230769231,546
10477550263,regime-analysis-120,35165084206,2026-09-17T01:48:37Z,2,4830,0.019584950239968563,0.03868033403854966,0.016896917321166605,0.6012422360248447,1.7055573603590857,1.4312708434385906,0.6523359128690169,0.7223602484472049,0.009026635531172049,2025-11-18,2026-01-30,0.6309523809523809,420
10477550263,regime-analysis-120,35165084206,2026-09-17T01:48:37Z,3,4830,0.019535301795272696,0.03254053598478453,0.09488145371490897,0.6474120082815735,0.9668628043680417,1.320885019672837,0.6142302716688227,0.8002070393374742,0.0025964286214120104,2026-02-02,2026-04-14,0.6837979094076655,3444
10477550263,regime-analysis-120,35165084206,2026-09-17T01:48:37Z,4,4830,0.02430244522180917,0.03904116878519086,-0.12843393174312712,0.47370600414078673,-0.11595240207087672,-0.3152355750715937,0.49321676213445886,0.6867494824016563,0.0005371186323236443,2026-04-15,2026-06-25,0.7380952380952381,210
10477550263,regime-analysis-120,35165084206,2026-09-17T01:48:37Z,5,4805,0.01903115787798986,0.030299140573336745,-0.11140270850307266,0.4493236212278876,0.2003027934075679,0.2043861290606702,0.4436482084690554,0.9583766909469302,0.0007794495174557399,2026-06-26,2026-09-04,0.6190476190476191,105
10425779034,regime-analysis-119,35037919242,2026-09-16T01:19:20Z,1,4830,0.018415556399213003,0.029929242926896082,-0.05868873010216413,0.4244306418219462,-0.06312704847843201,-0.7510451760743473,0.4765127388535032,0.5200828157349896,0.002645329781569942,2025-09-09,2025-11-17,0.5183150183150184,546
10425779034,regime-analysis-119,35037919242,2026-09-16T01:19:20Z,2,4830,0.019654702880924906,0.038584790476732765,0.021747607789616485,0.6455486542443064,1.7895695573922554,1.8172431087374494,0.6507597340930674,0.8720496894409938,0.009026635531172049,2025-11-18,2026-01-30,0.7333333333333333,420
10425779034,regime-analysis-119,35037919242,2026-09-16T01:19:20Z,3,4830,0.02244116324728179,0.035447999636180866,-0.07408715997496595,0.5209109730848861,0.47881506174600164,0.3525213380393316,0.5377149195784803,0.746583850931677,0.0025964286214120104,2026-02-02,2026-04-14,0.5354239256678281,3444
10425779034,regime-analysis-119,35037919242,2026-09-16T01:19:20Z,4,4830,0.023911159276382658,0.03823607781645973,-0.08237359487913332,0.5093167701863354,-0.14936841533838022,-0.3475444169839196,0.5252686032630323,0.5202898550724637,0.0005371186323236443,2026-04-15,2026-06-25,0.5714285714285714,210
10425779034,regime-analysis-119,35037919242,2026-09-16T01:19:20Z,5,4760,0.018999768574892186,0.03020362142926242,-0.10839202827444194,0.44915966386554623,0.17621653551880348,0.13192550178963774,0.4433497536945813,0.9382352941176471,0.0008694430537287838,2026-06-26,2026-09-04,0.6190476190476191,105
10376338946,regime-analysis-118,34912551669,2026-09-15T01:48:02Z,1,4830,0.019639828076648914,0.0314594523567209,-0.17270951740261498,0.3865424430641822,-0.4459390827440345,-1.3855996369113432,0.4118129614438064,0.2523809523809524,0.003719292096284177,2025-09-05,2025-11-13,0.45714285714285713,525
