threshold,threshold_label,N_signals,coverage,positive_signal_precision,mean_actual_forward_return,median_actual_forward_return,return_volatility,sharpe_long_only
0.0,> 0%,18260,0.7568911917098445,0.5569550930996714,0.004440941438127618,0.0012450000504031,0.034460103136281006,0.7943565666502134
0.0025,> 0.25%,12193,0.5054093264248705,0.5690970228819815,0.005952999562348175,0.0025039999745786,0.03982027712314247,0.7503801682598026
0.005,> 0.5%,8675,0.35958549222797925,0.580057636887608,0.007200400540622793,0.003872999921441,0.04484370126528444,0.6779778842729438
0.0075,> 0.75%,6476,0.2684352331606218,0.5872452130945027,0.00839412022685498,0.0064639998599886,0.049849525151633614,0.6130429250177027
0.01,> 1%,4774,0.1978860103626943,0.5992878089652284,0.009547700614020601,0.0098540000617504,0.05453416659193099,0.5462338585455624
0.015,> 1.5%,2510,0.10404145077720207,0.6099601593625498,0.011557029389510283,0.0143189998343586,0.0645771277503998,0.40405679434078623
0.02,> 2%,1369,0.0567461139896373,0.6406135865595325,0.011419300068406388,0.0230710003525018,0.07419182406163999,0.25743516131290256
